"fid","username","reaction_count","reply_count","reaction_reply_ratio","url","text"
"236812","<a href=""https://warpcast.com/phaverapp"" target=""_blank"">phaverapp</a>","6024","232","25.96551724137931","<a href=""https://warpcast.com/phaverapp/0xaacc9ce3"" target=""_blank"">https://warpcast.com/phaverapp/0xaacc9ce3</a>","Even markets go down, you will stay $SOCIAL 🚀 It is time for the SOCIAL Summer Content Campaign! 🌞 Go Phaver app and share your best summer moments under the $SOCIAL Summer community. \n\nTop 10 posters win amazing prizes, including 2 Phaver-Up NFTs and juicy points! 🎉 Details 👇\n\nPrizes:\n1st place: Phaver-Up NFT\n2nd place: 15k points\n3rd place: 10k points\n4th-10th place: 5k points\n\nBONUS: 1 Phaver-Up NFT for the best AI visual! 🤖✨\n\nDon't miss out on this chance to show off your summer vibes and win big! #SOCIALSummer #PhaverUp"
"236812","<a href=""https://warpcast.com/phaverapp"" target=""_blank"">phaverapp</a>","5348","182","29.384615384615383","<a href=""https://warpcast.com/phaverapp/0x513ee60e"" target=""_blank"">https://warpcast.com/phaverapp/0x513ee60e</a>","GM Frens! 💜 It's time to update Phaver from App/Play Store for fresh updates! 🚀\n\nWe’ve been cooking up the most requested feature: TRANSLATIONS 🔡 - You can now translate any post or comment on the Phaver Supergraph into your language. Go and check your preferred language in the settings. \n\nYou asked, we delivered: Improved Video Streaming for new videos ▶️ with native Warpcast support, better playback quality, and a new posting flow. \n\nBut that’s not all! Explore Discovery 🔎 for the latest pinned posts on Phaver, $SOCIAL tab 👀, and to find the top creators, users, and new Communities. We’ve replaced Communities tab with Dashboard. More cool tabs will be added to discovery soon.. 😎\n\nAlso, now you can see your email, verify it, or change it. Check it out in your profile settings. ✅\n\nStay tuned for the big news, and don’t forget to post on the Supergraph daily to get your share of the 30M bonus $SOCIAL! \n\nKeep Phavering! 🦄"
"345284","<a href=""https://warpcast.com/cryptoteluguo"" target=""_blank"">cryptoteluguo</a>","5113","82","62.353658536585364","<a href=""https://warpcast.com/cryptoteluguo/0x579cdd4f"" target=""_blank"">https://warpcast.com/cryptoteluguo/0x579cdd4f</a>","💥Simple guide on _xyz_ Node whitelist\n\n✅Binance Incubation\n💰Funding undisclosed\n\n✅Apply for whitelist to run validators or light clients on Public Testnet\n\n💯FREE\n📆Ends - 5 August\n\n👇Steps\n🔗https://app.galxe.com/quest/n92t8xtegfVMAFUcXJor9E/GCVWntghfL\n✅Complete social tasks\n✅Submit EVM wallet\n\n📝Team will select few & send test tokens to setup node\n✅Only selected users can run the node\n\n💙Like\n🔁RT"
"535436","<a href=""https://warpcast.com/cryptohindio"" target=""_blank"">cryptohindio</a>","4996","127","39.338582677165356","<a href=""https://warpcast.com/cryptohindio/0x70d38cba"" target=""_blank"">https://warpcast.com/cryptohindio/0x70d38cba</a>","😁Will waiting for $SOCIAL TGE"
"535436","<a href=""https://warpcast.com/cryptohindio"" target=""_blank"">cryptohindio</a>","4928","101","48.79207920792079","<a href=""https://warpcast.com/cryptohindio/0xcc9984a3"" target=""_blank"">https://warpcast.com/cryptohindio/0xcc9984a3</a>","🔴Red morning"
"535436","<a href=""https://warpcast.com/cryptohindio"" target=""_blank"">cryptohindio</a>","4730","87","54.367816091954026","<a href=""https://warpcast.com/cryptohindio/0x8122edb1"" target=""_blank"">https://warpcast.com/cryptohindio/0x8122edb1</a>","🤔Around 55% r still farming #Airdrops\n\n👇So here is the list of projects u should try with funding details of project\n\n🪂 @LineaBuild - $725M\n🪂 _xyz - $244M\n🪂 _xyz - $180M\n🪂 berachain.phaver - $142M\n🪂 @Scroll_ZKP - $80M\n🪂 @EclipseFND - $65M\n🪂  - $41M\n🪂 @Calderaxyz - $24M\n🪂  - $22M\n🪂 @elixir - $17M\n🪂  - $18M\n🪂 @cysic_xyz - $18M\n🪂 @LensProtocol - $15M\n🪂 @aprMEV - $10M\n🪂 @phaverapp - $7M\n🪂 @symbioticfi - $6M\n\n🤔Let me know if I missed anything\n\n💙Like\n🔁RT\n📚Bookmark"
"345284","<a href=""https://warpcast.com/cryptoteluguo"" target=""_blank"">cryptoteluguo</a>","4539","51","89","<a href=""https://warpcast.com/cryptoteluguo/0xfa44435f"" target=""_blank"">https://warpcast.com/cryptoteluguo/0xfa44435f</a>","🚨Important if u delegated $EIGEN\n\n📆As per initial announcement Listing might be in September\n\n🤔So if u want to sell #Airdrop u should unstake tokens now\n\n🔗app.eigenlayer.xyz\n✅Unstake $EIGEN\n⌛Wait 24 days\n📤Claim\n\n📆so u get access to your tokens on time\n\n💙Like\n🔁RT"
"535436","<a href=""https://warpcast.com/cryptohindio"" target=""_blank"">cryptohindio</a>","4341","72","60.291666666666664","<a href=""https://warpcast.com/cryptohindio/0xf4a95a38"" target=""_blank"">https://warpcast.com/cryptohindio/0xf4a95a38</a>","😁Good morning"
"345284","<a href=""https://warpcast.com/cryptoteluguo"" target=""_blank"">cryptoteluguo</a>","4325","155","27.903225806451612","<a href=""https://warpcast.com/cryptoteluguo/0x69d81c58"" target=""_blank"">https://warpcast.com/cryptoteluguo/0x69d81c58</a>","😁Phavering here since 2022\n\n🤔What about u? Let me know in comments"
"345284","<a href=""https://warpcast.com/cryptoteluguo"" target=""_blank"">cryptoteluguo</a>","4255","76","55.98684210526316","<a href=""https://warpcast.com/cryptoteluguo/0xb760339e"" target=""_blank"">https://warpcast.com/cryptoteluguo/0xb760339e</a>","🤔If u r wondering,why market crashed\n\n👇Here is the list\n🔴War situation \n🔴Recession talk\n🔴Trump winning odds reduced\n🔴Japan rate hike situation\n🔴Japan Markets sell-off\n🔴US Markets sell-off\n\n📝Keeping above points,big Funds selling\n🔴Warren buffett\n🔴Jump\n🔴..\n\n💙Like\n🔁RT"
